,Unnamed: 0,tweets,sentiment
111,111,OhmyG! yaya dub @mainedcm im done doing to stalk your ig accnt.. GONDOOO MOO TOLOGOOO :) HAHA,Positive
112,112,@rozbabes Here's your invite to become a Scope influencer :) Details here: http://t.co/ipJ2yOiGet,Positive
113,113,#FollowFriday @NGourd @Locita @D_Robert_Kelly for being top influencers in my community this week :),Positive
114,114,@kevinthewhippet @Cassie_Spaniel @Bracken_Nelson @BellisimoBella1 @SpanielHarry thanks :) zzz xx,Positive
115,115,Physiotherapy Friday is my hashtag for today. Custom! :-),Positive
116,116,"@Cjlopez21 you know I will 💪 Monica and I miss you to, yeah sounds good to me :)",Positive
117,117,"""Good morning, beautiful :)"" That's all it takes.",Positive
118,118,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x43",Positive
119,119,@MandaScapinello oh yeah?? I am definitely going to try it tonight then! :) we took your advice too! We are in Treviso now!,Positive
120,120,@morallosanthony  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Positive
121,121,@NIKKIERIOZZI Hi! Would you like an @imPastel concert? Let me know your city and country and I'll start working on it! Thanks :),Positive
122,122,"Fine, 
...Have a gorgeous Friday, friend!!..; xo..-:)) https://t.co/JmpkZP2DaI",Positive
123,123,"Oven roasted garlic in olive oil, sun dried tomatoes, some dried basil, and century tuna :) https://t.co/EsCc9QhLob",Positive
124,124,@HostMyOffice @NigelPWhittaker @lemezma @TWBC_Business @_TheBunkerJL Right back atchya!  Have a great day everyone :),Positive
125,125,@TeamTall17 @FlashHayer  but doesn't even follow back :-),Positive
126,126,The future is almost here then :) https://t.co/rolE3ZCL97,Positive
127,127,#FollowFriday @Michelploria @MyFrenchCity @jasoncreation for being top new followers in my community this week :),Positive
128,128,No chance :),Positive
129,129,@ChiAB2486 @MrCliveC @PCDKirkwood @DC_ARVSgt @COPS_President @EmWilliamsCCCU @LauraRGallagher @Hall11Kate @LaMinx541 @JohnTarbet71 cheers :),Positive
130,130,@thatguycalledP go po for ice cream :)),Positive
131,131,@19strawberry66 I agree 100% :),Positive
132,132,@SpazzyTsukihara hehehehe thats the point :p,Positive
133,133,@KalinWhite next time just stay home :),Positive
134,134,@Gculloty87 thanks :),Positive
135,135,#FollowFriday @digitalplace2be @intlboost @_lafontpresse for being top supports in my community this week :),Positive
136,136,"@stayfaboo it will be up soon, i promise :)",Positive
137,137,Web Whatsapp volta a funcionar com iPhone jailbroken. :-),Positive
138,138,@crustyolddeen (I plan on watching it later) at 34 mins Leia appears as a hologram from R2D2 w a message for Obi Wan as he sits w Luke :),Positive
139,139,"@Mburu__ Inter 3 UCL, Arsenal... Small team, Right! :)",Positive
140,140,"Just passing by :) 🚂 (@ Dewsbury Railway Station (DEW) - @nationalrailenq in Dewsbury, West Yorkshire) https://t.co/DvBssHbrfx",Positive
141,141,@ClearlyArticle :) its 430 am smh,Positive
142,142,@uptommosass it's 9:25 am here :) I live in Scotland :) it's strange to imagine what?- Megan xx,Positive
143,143,"@bookmyshow 

 !
#MasaanToday
#MasaanToday

A4.... Shweta Tripathi  
 !
#MasaanToday
#MasaanToday

-.:-) .-..,",Positive
144,144,@WforWoman 5. Over 20 W kurtas! And my Mom has about half the number I have :D #WSaleLove,Positive
145,145,Ah! Hello back Larry! @TransworldBooks :) https://t.co/8XhjJb4jtH,Positive
146,146,Anyway my Friday is looking kinda gooood :),Positive
147,147,@jhun_hunyo  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Positive
148,148,Lol. Well. That's life :) thank God it enn you  https://t.co/GLoCEIjGQQ,Positive
149,149,@OJBJ @holmesjsamuel surely this could be your warmup this morning ??? Coming on 15th to Bath :) xx,Positive
150,150,"Dum Dum Andar - Ram Sampath, Sona Mohapatra &amp; Samantha Edwards Mein Tulane to razi razi, Wah! That's Josh :) http://t.co/ul8MARDfhm",Positive
151,151,@justinbieber :) always smile,Positive
152,152,@darlakim_ picture. :),Positive
153,153,"@arsenalnewsasit Thanks again, your time 16.20 right? That's perfect timing for me here :).",Positive
154,154,#FollowFriday @IzywayLesExpats @na4innov @InXpressCoAzur for being top engaged members in my community this week :),Positive
155,155,@Juleeyaanaa i know :)),Positive
156,156,#GiveItUp We have already given up our gas subsidy long back when this initiative was proposed.. Feeling so delighted having done that!! :),Positive
157,157,@dayloladay I missed this yesterday!! :-),Positive
158,158,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x42",Positive
159,159,@jaimeemelanie_ lmaoo! The best songs ever &lt;3 We shall have our own little throwback this week (y) :p,Positive
160,160,"@Clazziebritchas then go to the outlying islands, such as Cheung Chau, Mui Wo....totally different :))",Positive
161,161,#KFCkitchentours Kitchen is so clean. I'm totally amazed :) @KFC_India,Positive
162,162,@cybelxxx  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Positive
163,163,"@Jana7380 on the cusp of testing the waters, hope yours is rewarding :)",Positive
164,164,#FollowFriday @BroadcastBeat @InSunWeTrust @conseilsmkg for being top influencers in my community this week :),Positive
165,165,"arummzz: Let's go... I'll drive for you :p

#traveling #traveler #yogyakarta #jeep #Indonesia #instamood… https://t.co/s7y4Ys5JeU",Positive
166,166,Anyone wanna skype me? :D,Positive
167,167,"@agylyxa may i look so, bit i am a real nice friendly girl :-)",Positive
168,168,Im not like them. But i can pretend~ :),Positive
169,169,watching where we are concert film :),Positive
170,170,"Congratulations @amisharanka95, you're the winner to our #CheesyDelights contest :)
Please DM us your address and contact number!",Positive
171,171,:) Have a great weekend guys! https://t.co/DLDKLpeTAb,Positive
172,172,#FollowFriday @CLARAROJASG @BF_P2C @MyBusiness_Plan for being top new followers in my community this week :),Positive
173,173,@PuaMagasiva it was cool seeing you film today! :),Positive
174,174,Check out Email Marketing 24/7:  http://t.co/O5fjR7oEqk you won't regret if you buy it :),Positive
175,175,"@vineshpomal LOL. Come join us ... See u in around 14 hours if u leave now, without delays. :)",Positive
176,176,"Actually very easy doing like this, it must be a station I guess where the train 'wd take at least an hour for shifting its engine etc :-)",Positive
177,177,sunburn is peeling :-),Positive
178,178,@Sexdate_gratis Visit my blog http://t.co/UzOAqroWKx thanks :D,Positive
179,179,@TikoSD Hi! Would you like an @imPastel concert? Let me know your city and country and I'll start working on it! Thanks :),Positive
180,180,@no1_razorstan then talk to me. I can help you :),Positive
181,181,"""@CassTheTrainer: A Huge &amp; Warm Welcome to @VodkaBlond :-))""

☆ finally we complete the triangle ! ☆",Positive
182,182,@LucienneDiver I live in Northern Ireland. :) what sights have you seen?,Positive
183,183,@Mecastor01Mica  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Positive
184,184,#FollowFriday @Z_Intl_Agency @Tivipro @compexly for being top supports in my community this week :),Positive
185,185,Stats for the day have arrived. 1 new follower and NO unfollowers :) via http://t.co/6prugvmOuC.,Positive
186,186,"@imraina feeling smthng smthng fr u...lol...wanna hug u....XOXO...love uu jaann take care :* :)) &lt;3 :"")",Positive
187,187,thanks mom :),Positive
188,188,Thanks #TopNewFollowers @BestOfFicPad @MrCFluegel @JeanMarcPN Happy to connect :),Positive
189,189,"@MooseAllain @MeatBingo that is the just most wonderful thing, it's made me feel all fluffy inside. Great pirouette, Moose :D",Positive
190,190,@KristophCajon I have a trip to philly in December so after that :) I'd love to come out there dude.,Positive
191,191,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x41",Positive
192,192,The question is flawed. Pain doesn't negate strength :)  https://t.co/77TbkS2Djw,Positive
193,193,@ReflectKnives You went solo because these moves weren't being made :D,Positive
194,194,hey my fav nirvana song is smells like teen spirit rip amy winehouse :-))))),Positive
195,195,#FollowFriday @CCIdeLYON @CCI_95 @CPNERI_ESIGROUP for being top engaged members in my community this week :),Positive
196,196,"Let's go... I'll drive for you :p

#traveling #traveler #yogyakarta #jeep #Indonesia #instamood… https://t.co/s7y4Ys5JeU",Positive
197,197,did we name the couple yet?? #TomHiddleston #ElizabethOlsen ?? #yaytheylookgreat :)),Positive
198,198,I love you all goodnight. Vid going up when I wake up you all with love this one :),Positive
199,199,This weekend I am gonna shoot the lovely @NarakuBrock again &lt;3! Here a picture I made of her last time :D http://t.co/s3e2dmpt24,Positive
200,200,anyway :-),Positive
201,201,Itty Bitty Teenie Bikini  :) http://t.co/A2oxW0ZI3g http://t.co/jn7KSfHwRc,Positive
202,202,I just joined the #HushedPinWithSammy Event :D Might get to Text with @SammyWilk for a day! Luv U @HushedApp http://t.co/czdow1i44W,Positive
203,203,"Always so much fun when 4th hour gets together. :) 

Ending the night with ice cream and Xfiles. 

Content.",Positive
204,204,@aangelayap easy :D,Positive
205,205,"@NTtownend yes, be surprised if we don't see a bit of rain today... :)",Positive
206,206,@ReyesFraulein  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Positive
207,207,To all @fatpunkstudio have a fabulous Friday and keep up the fantastic work!! :)),Positive
208,208,@justinbieber can you please follow me @caitecat1209 ♡♡♡♡ please jb follow me I love you always and forever. I'm a belieber ♡♡♡♡ :) I love u,Positive
209,209,#FollowFriday @DiploMix @CCI_entreprises @CCI_92 for being top influencers in my community this week :),Positive
210,210,Morning all! :),Positive
211,211,@FranchiSeedsUK good to hear :),Positive
212,212,@LusciousLyndee1 Nighty night! Don't let the bed bugs bite :D,Positive
213,213,@Bonsplansblog Very beautiful this bracelet! good idea :),Positive
214,214,@guywilliamsguy waiting for you at the foundry. Where you at?? :),Positive
215,215,@KalinWhite I like that game :),Positive
216,216,@suzannepanter @kevinbacon @katosman Ah! Now it makes sense... Didn't see the pic on my effing phone last night. Woot :) x,Positive
217,217,"@Derek_GTA Hi Derek, you could try using ParkShare in Gloucestershire http://t.co/qIF9AyAlkc :)",Positive
218,218,"Aaaahhh man, this track is a traffic stress reliever. :)",Positive
219,219,#FollowFriday @elevents2 @JoussotFrench_J @NYIBF for being top new followers in my community this week :),Positive
220,220,@El1neW How're you today my dear? :),Positive
221,221,@Jesutomisin I hear you guys want Arbeloa. :D,Positive
222,222,@ShawnMendes turning 17 in 15 days...omg. at least we have only 3 years difference :),Positive
223,223,"@matteomeacci Well, they say Europe is on the rise again, but I find that hard to believe :)",Positive
224,224,@WforWoman #WSaleLove uncountable coz we love unlimited :),Positive
225,225,"Yes, of course :) #TeamPositive https://t.co/SaIX1VpFJF",Positive
226,226,yes i love :-) #AlDub,Positive
227,227,@coffeebreak22 @LauRenArren @drparkave @JWKanyuira1969 @dheracing @RhoaChri @BarbaraBathurst @1cryingeye @willisteam :) ☕☕☕ Thank you Rita!,Positive
228,228,"@mikerobb Hi there, could you please DM us further info and we'd be happy to help! :)",Positive
229,229,@24gooch on way my boy! :),Positive
230,230,@graphure I hope you will get a lot of nice gifts :D,Positive
231,231,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x40",Positive
232,232,#FollowFriday @ACBM_SECEM @DCarsonCPA_NYC @PromosalonsInfo for being top supports in my community this week :),Positive
233,233,So True!!  :)  https://t.co/N2ORwrOwhD,Positive
234,234,I added a video to a @YouTube playlist http://t.co/09GuSuMrNb im back on twitch and today it going to be league :) - 1 / 3,Positive
235,235,@ZarlashtFaisal @Tabinda_Samar Sethi was HIGH ??? :),Positive
236,236,@IAm_Lennox exe skeem saam :),Positive
237,237,These are the people who make me smile. :) @_pumpchkin_ @aka_pump @LilfrenchMsp @_Lishielou908_ http://t.co/iDdtACkA4K,Positive
238,238,@CoSchedule Thanks for the invite. :),Positive
239,239,"@SyedIHusain polite izzat :) 
wese does she trust him? khawateen k sath selfies say to mana kar deya :)",Positive
240,240,Thank you @MovieTubePW that's my Friday evening sorted :-),Positive
241,241,@nova_caneeee you smart :))),Positive
242,242,@vaalthepal :-) nice hair tbh,Positive
243,243,5 years :) https://t.co/hJEhDmxuu9,Positive
244,244,jacob will there be a m&amp;g upgrade??:-),Positive
245,245,@heydonworks Nice tee man :),Positive
246,246,Happy family vacation .. :D [pic] — https://t.co/HL0Fw8msf1,Positive
247,247,some sleep would be nice :-),Positive
248,248,"If you're reading this, you're beautiful. 
Like this if you just read this :)",Positive
249,249,Talking to One person .... Having Two Conversations :)))))))),Positive
250,250,skype was fun :-),Positive
251,251,@SoggyStones should be online :),Positive
252,252,...because it's Friday :D (y) http://t.co/6rA4ZlpjO9,Positive
253,253,#FollowFriday @CCIFCcanada @AdamEvnmnt @boxcalf1 for being top engaged members in my community this week :),Positive
254,254,Something to get your #Friday off to a great start :) Have a great day all! #Mclaren #FridayFeeling #TGIF http://t.co/LshgwcXsSv,Positive
255,255,@AvinPera  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Positive
256,256,square enix bissmillah ya Allah :),Positive
257,257,@SephtonMark we're training #SocEnt startups at @TobaccoDockLon this week w/ @HelpingB - we'd love to have you drop in if youre arnd town :),Positive
258,258,@HGVWolfie Basically you piss in a cup and they test it :))),Positive
259,259,@ellenRstewart where are you off to next? :),Positive
260,260,"@IonSwitz @notch also, Twitter is terrible for complicated discussions :)",Positive
261,261,Snapchat me : LynetteLowe #snapchat #kikmenow #snapme #hot #snapchat #amazon #kikmeguys :) http://t.co/kd54m2IAm6,Positive
262,262,I am not looking forward to a 12 hour shift today :)))))),Positive
263,263,@ely83_ely definately agree that it's a growing sport. Drop me an email with details and we can see what we can do :-),Positive
264,264,My last rt is me :),Positive
265,265,...and the Rakyat will keep visiting your blog and reading your writing :) https://t.co/IMRy2BXuzd,Positive
266,266,@ryan2390 ever since I mentioned fly fishing the other day I'm getting follows and promoted posts about it lol cyber stalked! :-),Positive
267,267,@Gurmeetramrahim #OurDaughtersOurPride #mypapamypride Proud of You Papa Coach :),Positive
268,268,@imarpita it was great talking to you :D,Positive
269,269,@awaismarwat2011 never see positive kha u could also mention atleast they are going :),Positive
270,270,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x39",Positive
271,271,@_pigglywiggly @Omundson The mango lassi's from Monty's are marvellous :D. Though I suspect that's not what you meant....,Positive
272,272,#FollowFriday @StayfanChemin @CCI_75 @aandreup for being top influencers in my community this week :),Positive
273,273,@Thakurain_ Haha. Yes. I have 24 hrs. The time has come to touch the Kepler 452b. Chalna hai ?? :D,Positive
274,274,@iyah_mohamad  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Positive
275,275,@allygrrdo thankyou pretty! :),Positive
276,276,"@PinkPeoniesBlog @helloprettysa definitely the Hazel Food Market in Brooklyn, Pta :) &gt;&gt; http://t.co/ySQkhNDo2B",Positive
277,277,still awake :)))),Positive
278,278,@joiredve okayy :D,Positive
279,279,Awww thank you :)  https://t.co/9tSQv2DWVm,Positive
280,280,@AR1961 ha! That does not surprise me in the least! Okay but will see doc this afternoon. Yorkshire is splendid though! :) xx,Positive
281,281,@JRTurnerPhoto @davidqueenan @jameslturnbull spam folder: WOW! I have won a huge amount of $ I just need to travel to Nigeria to claim it :),Positive
282,282,@PERKSOFNIALLJH RTed! Good Luck :),Positive
283,283,My legs hurt so bad :)))))))))))))))))),Positive
284,284,@johnny_lopez96 I get mine Saturday :-)))),Positive
285,285,@imafaithreyes thaaanks! December puhon. :)),Positive
286,286,happinessss~!! :))  https://t.co/slOn63OUeS,Positive
287,287,@VaibhavVj78 @PayUmoney True that. Can you change TnC without prior notification? I could have used them last night. :-),Positive
288,288,https://t.co/gYx34VfmkK and I  probably only find this funny at 2:22 am :-),Positive
289,289,@aliyaskates @yoshihikomkm Fat cos he probably ate Yuna :D :D :D,Positive
290,290,@emmajaneparsons @CuriousMindsNW Have fun in Tameside :)),Positive
291,291,@hydrcted what :-) did :-) i :-) do :-?,Positive
292,292,@CharmingJedward you´re welcome!! :),Positive
293,293,My Google+ account. :) http://t.co/R8jyDxlQyo,Positive
294,294,@2SHYMC and they call scousers for everything! Hope you and Zoe are well mate :),Positive
295,295,@RachelEvans_28 RIGHT!!!!!! I literally was like maybe u should get people who actually know what they're doing :-) @StudentTrip,Positive
296,296,"|| Sameee~ 

Rest well :) https://t.co/T6ZCo4NxDG",Positive
297,297,@EdgarsLame happy birthday Edgar! I hope you have a good one and keep updating your travel log :),Positive
298,298,"Hello :D
@VikkFollows @Vikkstar123",Positive
299,299,@MarreyJewAna bring Abes :),Positive
300,300,Stats for the day have arrived. 2 new followers and NO unfollowers :) via http://t.co/xxlXs6xYwe.,Positive
301,301,someone talk to me :)),Positive
302,302,i will never be the same if we ever meet again :D,Positive
303,303,@BBCSport come on man :D :D,Positive
304,304,@prettyden15  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Positive
305,305,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x38",Positive
306,306,@LivelyKaty *sighs dreamily at that pout and those 'come to bath' eyes!* :-) #quacketyquack,Positive
307,307,@_sunshinehoran_ happy birthday love :),Positive
308,308,@Brianscrooks @burwellitltd @manfrotto_tweet Cheers :-),Positive
309,309,Funny how that happened when Phil was here too : ),Positive
310,310,@WMFireDogs I'd call 'em Del &amp; Rodders :) What else!,Positive
311,311,"@ForkH Hi, may you like play my newest gamejam game, i would be very happy about it :) http://t.co/8J5voDDHcs",Positive
312,312,This is great! Irish literature is really inaccessible to most of us without Irish :),Positive
313,313,@BhaktisBanter @PallaviRuhail yeah! This is fun :) #FlipkartFashionFriday,Positive
314,314,Nice music :) Check it out! http://t.co/PEjHsORGrk,Positive
